exp_id,model,batch_size,lr,weight_decay,dropout,seed,unique_id,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,epochs,optimizer,test_accuracy,Pg_0,Pg,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv,EEDP2,EEDPinv2,FLOPS,FLOPS_,FPJ,n_samples,rate,tot_samples,SPJ,Eg,Eg2,Eg3
3205,vit_small_patch32_224,128,0.03,0.0,0.05,5,3205_vit_small_patch32_224,640.0107298740186,78267.58084439172,0.8375,0.8815,0.849376030018614,0.8822556924130948,0.8389190429694158,0.8821845248956166,0.9983585841609688,0.9988030290650756,10,SGD,0.8801,0.5957875527498002,0.6852610884815071,50092091.5416929,1.996323110540663e-08,1.996323110540663e-09,5009209.15416929,1.9963231105406629e-07,500920.915416929,1.996323110540663e-05,1137790752,11377907520,145371.9074647404,,,,,,,
3206,vit_small_patch32_224,128,0.03,0.0,0.05,6,3206_vit_small_patch32_224,653.8149532719981,79571.07826529688,0.8393,0.8759,0.8440776079918684,0.8767048932415215,0.839117728448961,0.8758944676375283,0.9983767666840424,0.9987464638798365,10,SGD,0.8829,0.593494864134406,0.6717613219124964,52024760.81782758,1.9221616481845027e-08,1.9221616481845028e-09,5202476.081782758,1.9221616481845026e-07,520247.6081782758,1.9221616481845025e-05,1137790752,11377907520,142990.49061601338,,,,,,,
3207,vit_small_patch32_224,128,0.03,0.0,0.05,7,3207_vit_small_patch32_224,648.989007094875,79058.28501554219,0.8371,0.8807,0.8453767488706564,0.8811434465436736,0.8379153125888128,0.8811605407980311,0.998354544319304,0.998794948663554,10,SGD,0.8836,0.5919875414581276,0.6829768605977369,51307957.89486036,1.949015398447913e-08,1.949015398447913e-09,5130795.789486036,1.949015398447913e-07,513079.57894860354,1.949015398447913e-05,1137790752,11377907520,143917.96530576397,,,,,,,
3208,vit_small_patch32_224,128,0.03,0.0,0.05,8,3208_vit_small_patch32_224,659.3895667837933,80171.96707545804,0.8387,0.8841,0.8480583518790573,0.8829405316174785,0.8376524528702615,0.882460311391935,0.9983707057698686,0.9988292919945924,10,SGD,0.8801,0.5948234376519009,0.6880488867431636,52864558.63809082,1.8916264994208502e-08,1.89162649942085e-09,5286455.863809082,1.89162649942085e-07,528645.5863809081,1.8916264994208502e-05,1137790752,11377907520,141918.77703700456,,,,,,,
3209,vit_small_patch32_224,128,0.03,0.0,0.05,9,3209_vit_small_patch32_224,640.6617103300523,78338.74117286736,0.8359,0.8839,0.8456061689008572,0.8848453143956055,0.8362159144216483,0.8838876144500806,0.9983424230418412,0.9988272718778656,10,SGD,0.884,0.5900929452906979,0.6904908524998412,50188631.904912494,1.9924830824131698e-08,1.9924830824131698e-09,5018863.190491249,1.99248308241317e-07,501886.3190491249,1.99248308241317e-05,1137790752,11377907520,145239.85641909626,,,,,,,
32010,vit_small_patch32_224,128,0.03,0.0,0.05,10,32010_vit_small_patch32_224,645.8609281259123,78727.90811439707,0.845,0.8841,0.851123191294941,0.8836117296981049,0.8444370437350172,0.8840013417818452,0.9984343421914722,0.998829291999946,10,SGD,0.8803,0.6063675062960713,0.6897743764573023,50847279.80417603,1.966673544486978e-08,1.9666735444869778e-09,5084727.980417604,1.9666735444869777e-07,508472.79804176034,1.9666735444869776e-05,1137790752,11377907520,144521.90833607718,,,,,,,
32011,vit_small_patch32_224,128,0.03,0.0,0.05,11,32011_vit_small_patch32_224,668.5821229359135,81136.00472584787,0.8329,0.8862,0.8468923980488882,0.8866298939360044,0.8344111273695554,0.8868414356246713,0.9983121196206196,0.9988505039666457,10,SGD,0.8843,0.5875807066310667,0.696018182563045,54246082.28614568,1.8434510988739136e-08,1.8434510988739136e-09,5424608.228614568,1.843451098873914e-07,542460.8228614568,1.843451098873914e-05,1137790752,11377907520,140232.53373696483,,,,,,,
32012,vit_small_patch32_224,128,0.03,0.0,0.05,12,32012_vit_small_patch32_224,628.2866035480984,77695.82130448296,0.8377,0.8797,0.8450201799185677,0.8802426866364224,0.8387280862872369,0.880479374103427,0.998360604632386,0.9987848474262232,10,SGD,0.8833,0.5927399752289116,0.6809702660425581,48815243.67727358,2.048540424403453e-08,2.0485404244034532e-09,4881524.367727358,2.048540424403453e-07,488152.4367727358,2.0485404244034532e-05,1137790752,11377907520,146441.69183064558,,,,,,,
32013,vit_small_patch32_224,128,0.03,0.0,0.05,13,32013_vit_small_patch32_224,649.6228504888713,79195.83833407356,0.8309,0.8824,0.8381041130191319,0.8825641697089308,0.8316330145226651,0.8835961644173328,0.9982919179181876,0.9988121203263092,10,SGD,0.8794,0.5781439800202031,0.6873048636809268,51447426.24543669,1.9437318306835584e-08,1.9437318306835584e-09,5144742.62454367,1.9437318306835582e-07,514474.26245436695,1.943731830683558e-05,1137790752,11377907520,143667.99770468142,,,,,,,
32014,vit_small_patch32_224,128,0.03,0.0,0.05,14,32014_vit_small_patch32_224,649.5374508590903,79243.2618895332,0.8392,0.8807,0.8457740204356203,0.8801034931147123,0.8383479968707893,0.8805734129507463,0.998375756241942,0.9987949485053712,10,SGD,0.878,0.5940707550151199,0.681716250960585,51471466.3254867,1.9428239982058533e-08,1.9428239982058533e-09,5147146.632548669,1.9428239982058533e-07,514714.66325486696,1.9428239982058532e-05,1137790752,11377907520,143582.01882023795,,,,,,,
