unique_id,exp_id,batch_size,lr,epochs,optimizer,project,source_file,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,duration_minus_load,energy_minus_load,n_samples,rate,tot_samples,SPJ,EDP,EDPinv,EDPinv_per_epoch,EEDP,EEDPinv
31035_vit_tiny_patch16_224,31035,256,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,702.9005041490309,101406.81310014131,0.7041,0.8625,0.7115819245857956,0.862377756466072,0.7052298958070088,0.8630741604363921,0.9970111090489998,0.998611110152881,0.861,0.3522816030176302,0.6410636587482599,0.0,0.0,702.4706940506585,101384.18161155094,48000,8,480000,4.734466386867914,71219416.4224242,1.4041114772251058e-08,1.4041114772251056e-09,7121941.642242419,1.404111477225106e-07
31036_vit_tiny_patch16_224,31036,256,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,704.7735732779838,101619.3496141476,0.7002,0.8676,0.7046412206571911,0.8664331789486306,0.6983197969100512,0.8664622672553154,0.9969717147539155,0.998662625194858,0.8638,0.3435004757892357,0.6504637065840723,0.0,0.0,704.3437631796114,101596.71812555724,48000,8,480000,4.724562061215374,71559014.77125321,1.3974479710161148e-08,1.3974479710161147e-09,7155901.477125322,1.397447971016115e-07
31037_vit_tiny_patch16_224,31037,256,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,701.6993792740395,101031.06913708356,0.7201,0.8599,0.7277450657072108,0.8595821510082463,0.7211653416943714,0.8600101556053832,0.9971727252249318,0.9985848474598532,0.8653,0.3768576350839556,0.6347809564512162,0.0,0.0,701.2695691756671,101008.4376484932,48000,8,480000,4.752078253802795,70834143.55286606,1.4117485577469633e-08,1.411748557746963e-09,7083414.355286606,1.411748557746963e-07
31038_vit_tiny_patch16_224,31038,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,712.3395303329453,88852.0155494634,0.7365,0.8644,0.7618786119792341,0.8636799421371713,0.735465290776446,0.863826751314661,0.997338381807494,0.9986303019851848,0.864,0.4115885149200627,0.6440194464371791,0.0,0.0,711.9097202345729,88829.38406087302,48000,8,480000,5.403617339855306,63238501.95538554,1.5813151309395267e-08,1.5813151309395267e-09,6323850.195538554,1.581315130939527e-07
31039_vit_tiny_patch16_224,31039,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,715.9253398380242,89480.89694300867,0.7428,0.8644,0.7668670044557508,0.8642993888171326,0.7421049019848059,0.8648894744872861,0.9974020179432268,0.9986303018394308,0.8622,0.4216261026560838,0.6452742220041364,0.0,0.0,715.4955297396518,89458.2654544183,48000,8,480000,5.365630526835719,64006989.03089942,1.5623293879942537e-08,1.5623293879942536e-09,6400698.903089941,1.5623293879942541e-07
31040_vit_tiny_patch16_224,31040,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,721.2713651700178,90109.2400495956,0.7314,0.863,0.7573912829697131,0.8619073810980227,0.7292178904698687,0.8623036177112069,0.9972868661979988,0.998616160346708,0.8632,0.4028586314124947,0.6405163108461459,0.0,0.0,720.8415550716454,90086.60856100524,48000,8,480000,5.328205908372626,64938171.00624561,1.5399263399392974e-08,1.5399263399392975e-09,6493817.100624561,1.5399263399392973e-07
31041_vit_tiny_patch16_224,31041,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,710.7075187000446,89229.75854621976,0.7282,0.8602,0.7587944594125774,0.8600543557303406,0.7285340869649066,0.8605326789980946,0.9972545433940764,0.998587877728079,0.8642,0.40144931925334,0.6357392057564439,0.0,0.0,710.2777086016722,89207.12705762939,48000,8,480000,5.380735999825569,63361833.79743124,1.5782371501383873e-08,1.578237150138387e-09,6336183.379743123,1.578237150138387e-07
31042_vit_tiny_patch16_224,31042,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,715.8096729710232,89606.04376851612,0.7349,0.8689,0.7644287075219686,0.8682668204853397,0.7357391227427601,0.8694234566024754,0.9973222194527556,0.9986757562061722,0.8597,0.4122157493452644,0.655056654429751,0.0,0.0,715.3798628726508,89583.41227992575,48000,8,480000,5.358134812950863,64086169.19247743,1.5603990886030088e-08,1.5603990886030086e-09,6408616.919247742,1.560399088603009e-07
31043_vit_tiny_patch16_224,31043,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,717.0911875619786,89665.52558459365,0.7403,0.8558,0.765241757359898,0.8558334730592655,0.7412329730846123,0.8560711595551047,0.9973767660724696,0.998543433452638,0.8617,0.4188132250554799,0.6260923204930526,0.0,0.0,716.6613774636062,89642.89409600328,48000,8,480000,5.354579466008124,64243599.96266588,1.5565752862248282e-08,1.5565752862248283e-09,6424359.996266588,1.5565752862248286e-07
31044_vit_tiny_patch16_224,31044,64,0.03,10,SGD,24_03,project_24_03conf.csv,vit_tiny_patch16_224,718.009194239974,89919.08122517532,0.7577,0.8608,0.7814035328940042,0.8610616805441392,0.758837020963024,0.8612616538521607,0.9975525235639496,0.998593938423862,0.8611,0.4481846103087676,0.6374711837938962,0.0,0.0,717.5793841416016,89896.44973658495,48000,8,480000,5.339476713557638,64507839.03849508,1.5501991926954022e-08,1.550199192695402e-09,6450783.903849507,1.5501991926954022e-07
