exp_id,model,epoch,epoch_label,lr,dropout,weight_decay,optimizer,batch_size,val_accuracy,val_recall,val_precision,val_specificity,val_f1,Pg,energy_J,duration_s,SPJ,FPJ,EDP_inv,Eg,perfJ
683,vit_small_patch32_224,1,epoch_1,0.03,0.0,0.0,SGD,192,0.8356,0.8349611883697489,0.8395053611086091,0.9983393924160499,0.8325810559033502,0.5847448446793954,7840.889520063322,64.89915345795453,6.121754410284352,145109.90737576562,1.9651496732832268e-06,1.7456959372171366,7.45763402459818e-05
683,vit_small_patch32_224,10,epoch_10,0.03,0.0,0.0,SGD,192,0.8848,0.8844999572585377,0.8837410610777731,0.9988363625689107,0.8835342324011894,0.6908158742287571,78941.64299582195,652.8562868761364,6.08044096606153,144130.61456805738,1.9403329033675807e-08,0.01700464474054854,8.7509690451378e-06
849,vit_small_patch32_224,1,epoch_1,0.01,0.0,0.0,SGD,128,0.8155,0.8152927931327689,0.815706071175423,0.9981363622143553,0.8135159497396236,0.5413288093251176,7895.024111742163,65.47241437807679,6.079778772126895,144114.91794024786,1.934586634016906e-06,1.6950593086295176,6.856582090990787e-05
849,vit_small_patch32_224,1,epoch_1,0.01,0.0,0.0,SGD,128,0.8155,0.8152927931327689,0.815706071175423,0.9981363622143553,0.8135159497396236,0.5413288093251176,7895.024111742163,65.47241437807679,6.079778772126895,144114.91794024786,1.934586634016906e-06,1.6950593086295176,6.856582090990787e-05
849,vit_small_patch32_224,10,epoch_10,0.01,0.0,0.0,SGD,128,0.8748,0.8736968508079547,0.8745197123999007,0.9987353525703918,0.8733032004856749,0.667558870222614,78331.86191629243,643.7980215996504,6.127774678877685,145252.61166597498,1.982950680081552e-08,0.01764975373486485,8.522188211688184e-06
849,vit_small_patch32_224,10,epoch_10,0.01,0.0,0.0,SGD,128,0.8748,0.8736968508079547,0.8745197123999007,0.9987353525703918,0.8733032004856749,0.667558870222614,78331.86191629243,643.7980215996504,6.127774678877685,145252.61166597498,1.982950680081552e-08,0.01764975373486485,8.522188211688184e-06
850,vit_small_patch32_224,1,epoch_1,0.02,0.0,0.0,SGD,128,0.8338,0.8332625237235094,0.8357300192620734,0.9983212108402486,0.8317901568820092,0.5796689542664263,7995.041518311467,65.75012596300803,6.003721167684128,142312.05046203418,1.9023161171907574e-06,1.6253424474317504,7.250355772872221e-05
850,vit_small_patch32_224,1,epoch_1,0.02,0.0,0.0,SGD,128,0.8338,0.8332625237235094,0.8357300192620734,0.9983212108402486,0.8317901568820092,0.5796689542664263,7995.041518311467,65.75012596300803,6.003721167684128,142312.05046203418,1.9023161171907574e-06,1.6253424474317504,7.250355772872221e-05
850,vit_small_patch32_224,10,epoch_10,0.02,0.0,0.0,SGD,128,0.879,0.8778386609007307,0.8780900295272928,0.998777776845187,0.8772629029946373,0.6767238694845812,78277.88632667591,635.3184144764673,6.132000013347618,145352.76888439158,2.010802730837693e-08,0.0179223486983471,8.645147451483548e-06
850,vit_small_patch32_224,10,epoch_10,0.02,0.0,0.0,SGD,128,0.879,0.8778386609007307,0.8780900295272928,0.998777776845187,0.8772629029946373,0.6767238694845812,78277.88632667591,635.3184144764673,6.132000013347618,145352.76888439158,2.010802730837693e-08,0.0179223486983471,8.645147451483548e-06
851,vit_small_patch32_224,1,epoch_1,0.03,0.0,0.0,SGD,128,0.8365,0.8366087049228532,0.8411836615936004,0.9983484835883312,0.8351082086455246,0.5877076120289868,7894.802527064607,65.18648659507744,6.079949414244189,144118.96283655948,1.9431268566991474e-06,1.7026377115566023,7.444234482296854e-05
851,vit_small_patch32_224,1,epoch_1,0.03,0.0,0.0,SGD,128,0.8365,0.8366087049228532,0.8411836615936004,0.9983484835883312,0.8351082086455246,0.5877076120289868,7894.802527064607,65.18648659507744,6.079949414244189,144118.96283655948,1.9431268566991474e-06,1.7026377115566023,7.444234482296854e-05
851,vit_small_patch32_224,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8824,0.8814953445339975,0.8817933621088265,0.9988121203057355,0.880881011605306,0.6850718956796743,78637.93711353552,643.4730643511284,6.103924106083656,144687.2583085802,1.976230126612082e-08,0.01745327485242615,8.711722621749148e-06
851,vit_small_patch32_224,10,epoch_10,0.03,0.0,0.0,SGD,128,0.8824,0.8814953445339975,0.8817933621088265,0.9988121203057355,0.880881011605306,0.6850718956796743,78637.93711353552,643.4730643511284,6.103924106083656,144687.2583085802,1.976230126612082e-08,0.01745327485242615,8.711722621749148e-06
852,vit_small_patch32_224,1,epoch_1,0.04,0.0,0.0,SGD,128,0.8332,0.8331916562492994,0.8386537005130615,0.9983151502295635,0.8315007653309628,0.5812252902064786,7848.454484023839,64.68604699918069,6.11585377703443,144970.0389186259,1.969723398872987e-06,1.7463874144891491,7.405601846702551e-05
852,vit_small_patch32_224,1,epoch_1,0.04,0.0,0.0,SGD,128,0.8332,0.8331916562492994,0.8386537005130615,0.9983151502295635,0.8315007653309628,0.5812252902064786,7848.454484023839,64.68604699918069,6.11585377703443,144970.0389186259,1.969723398872987e-06,1.7463874144891491,7.405601846702551e-05
852,vit_small_patch32_224,10,epoch_10,0.04,0.0,0.0,SGD,128,0.8813,0.8803289253445914,0.880591681810746,0.9988010091861462,0.8797858046235213,0.6823737209068542,78343.73639083857,640.1454221575987,6.1268458987632695,145230.59588629115,1.9939629101881923e-08,0.017742391259592247,8.709997152837483e-06
852,vit_small_patch32_224,10,epoch_10,0.04,0.0,0.0,SGD,128,0.8813,0.8803289253445914,0.880591681810746,0.9988010091861462,0.8797858046235213,0.6823737209068542,78343.73639083857,640.1454221575987,6.1268458987632695,145230.59588629115,1.9939629101881923e-08,0.017742391259592247,8.709997152837483e-06
