unique_id,exp_id,batch_size,lr,epochs,optimizer,model,duration,total_energy_J,accuracy_0,accuracy,precision_0,precision,recall_0,recall,specificity_0,specificity,test_accuracy,Pg_0,Pg,weight_decay,dropout,n_samples,rate,tot_samples
376_vit_b_32,376,128,0.03,10,SGD,vit_b_32,946.6705884590046,156902.7361682725,0.6705,0.8642,0.6832344114044786,0.8653138519557352,0.6701944423678796,0.8647306449499483,0.9966717142779672,0.998628281635654,0.8682,0.3060000299810548,0.6457622142172631,0.0,0.075,48000,08,480000
377_vit_b_32,377,128,0.03,10,SGD,vit_b_32,943.3727683210165,156371.19746051377,0.6649,0.8613,0.6721845762165618,0.8602875681472184,0.6648633433700677,0.8606930615127409,0.9966151484100868,0.9985989886137844,0.8643,0.2961452350457483,0.6368505350637438,0.0,0.075,48000,08,480000
378_vit_b_32,378,128,0.03,10,SGD,vit_b_32,950.7910067219636,157522.76955315,0.6706,0.8599,0.68031585674775,0.8606942679093171,0.6736361419217383,0.8602724216508699,0.9966727247756024,0.9985848474227744,0.8601,0.3063035963564661,0.6357960595813432,0.0,0.075,48000,08,480000
379_vit_b_32,379,128,0.03,10,SGD,vit_b_32,944.3205326399766,156587.47561340424,0.6498,0.8652,0.6683775973861458,0.8667519441062457,0.652678506481265,0.865982286375846,0.9964626226041304,0.998638382430145,0.8643,0.2824632266259793,0.6485278006969091,0.0,0.075,48000,08,480000
380_vit_b_32,380,128,0.03,10,SGD,vit_b_32,934.3686465579668,155585.9651666958,0.6655,0.8581,0.6814880118454666,0.8583514584471302,0.6660339789523049,0.8578104794052428,0.9966212100548366,0.9985666657900788,0.8664,0.3010459520629113,0.6309158865869885,0.0,0.075,48000,08,480000
381_vit_b_32,381,128,0.03,10,SGD,vit_b_32,942.2302115110216,156308.71140004645,0.6615,0.8623,0.674322901051899,0.8618982597425776,0.6628353116948845,0.8620335716865817,0.9965808057218196,0.998609089949467,0.8637,0.294656423373244,0.6397850454570557,0.0,0.075,48000,08,480000
382_vit_b_32,382,128,0.03,10,SGD,vit_b_32,930.5339943889994,155212.61259008627,0.661,0.8617,0.6788663288130504,0.8612349914986811,0.6576589181343655,0.8600420173875343,0.9965757548418192,0.9986030291876804,0.8634,0.2941011745941312,0.637368077291791,0.0,0.075,48000,08,480000
383_vit_b_32,383,128,0.03,10,SGD,vit_b_32,949.2654747539782,157156.39586183472,0.7361,0.8661,0.7430145655875567,0.864291521775247,0.7333690585752086,0.864680080654025,0.9973343413060652,0.9986474736676096,0.8639,0.4000345495367415,0.6463919712877341,0.0,0.01,48000,08,480000
384_vit_b_32,384,128,0.03,10,SGD,vit_b_32,927.9839563600252,154890.01218972707,0.7295,0.859,0.741428917639291,0.8583781478549374,0.7307680312153275,0.8588115284030237,0.9972676748825766,0.9985757565931362,0.8695,0.3941722978727043,0.6323400665004932,0.0,0.01,48000,08,480000
385_vit_b_32,385,128,0.03,10,SGD,vit_b_32,947.710541923996,157043.1460577922,0.7173,0.8643,0.7344458857804571,0.8650157051404297,0.7193246093323215,0.8642230193215188,0.9971444423761638,0.9986292919364887,0.8666,0.3778710537710364,0.6452360682748249,0.0,0.01,48000,08,480000
386_vit_b_32,386,128,0.03,10,SGD,vit_b_32,936.5002868890296,155882.14851778667,0.7358,0.8586,0.7449788438668243,0.8591550415021362,0.7360913455675672,0.8581766688977099,0.9973313114992164,0.9985717162982178,0.8651,0.4024156747744863,0.6321474511018778,0.0,0.01,48000,08,480000
