model,batch-size,lr,dropout,accuracy,precision,recall,specificity,SPJ,EDPinv,FPJ
vit-s-16,128,0.03,0.0,0.9022583333333333,0.9023269076450937,0.9022766727128091,0.9990127096659887,2.9365599259096062,6.364e-09,272143.898363838
vit-s-16,128,0.04,0.0,0.9009909090909091,0.9010776901864529,0.9009634682787016,0.9989999073940244,2.9355755780945545,6.364e-09,272052.67453102244
vit-s-16,128,0.04,0.0,0.901145,0.9011549208278602,0.9011464294928107,0.9990014638662273,2.9310196880667854,6.333e-09,271630.46020406974
vit-s-16,256,0.01,0.0,0.8956222222222223,0.8954352041842117,0.8954807536407962,0.9989456781762066,2.9574590165344787,6.475e-09,274080.7088286032
vit-s-16,256,0.03,0.0,0.9030722222222222,0.903120174283385,0.9031085735550205,0.9990209307748218,2.9603325928004227,6.485e-09,274347.01575473126
vit-s-32,64,0.01,0.0,0.8779588235294118,0.8778500742021356,0.8779358096954718,0.998767259877341,5.990588126067068,1.856e-08,142000.74518500248
vit-s-32,96,0.03,0.0,0.87926,0.8792592908539929,0.8792764331149673,0.9987804030598554,6.0768694244701775,1.942e-08,144045.95483903604
vit-s-32,128,0.01,0.0,0.875738888888889,0.8757409804460047,0.8757738653260361,0.9987448362839013,6.274132486093975,2.045e-08,148721.87332292693
vit-s-32,128,0.02,0.0,0.880085,0.880028446948474,0.8800945777421006,0.9987887364269719,6.210385421304312,2.011e-08,147210.81455657646
vit-s-32,128,0.03,0.0,0.8809250000000001,0.8808662585481628,0.8808971813835733,0.9987972212818723,6.208069888653296,2.005e-08,147155.9272308206
vit-s-32,128,0.03,0.0,0.8799037037037037,0.8799609116760727,0.8798025566359379,0.9987869051412159,6.2077456791806975,2.010e-08,147148.2421779116
vit-s-32,128,0.03,0.05,0.88098,0.881004448579273,0.8810473561611497,0.9987977768112389,6.076009803879938,1.955e-08,144025.57841491513
vit-s-32,128,0.04,0.0,0.8791727272727272,0.8790984015222064,0.8792167467421103,0.9987795215470876,6.219607828859065,2.023e-08,147429.42226547172
vit-s-32,128,0.04,0.0,0.8774,0.8774926612716513,0.8773718313825615,0.9987616151933627,6.214928080217052,2.014e-08,147318.49362533493
vit-s-32,156,0.03,0.0,0.8813533333333333,0.8812795309449135,0.8813699737912546,0.9988015478574432,6.17211595054365,2.013e-08,146303.67601667196
vit-s-32,256,0.01,0.0,0.8739944444444444,0.8739347794177873,0.874041860335412,0.9987272156196787,5.590855330814,1.859e-08,132525.48939937644
vit-s-32,256,0.03,0.0,0.881588888888889,0.8815587731173234,0.8815237879695375,0.9988039272196816,5.591754138088199,1.854e-08,132546.79470363507
vit-ti-16,64,0.01,0.0,0.8580388888888888,0.8578684430944109,0.8582962678998286,0.9985660482654709,5.414953188066856,1.592e-08,132940.1913515734
vit-ti-16,64,0.03,0.0,0.8623666666666667,0.8619585253746265,0.862392340163852,0.9986097632075389,5.358648867835993,1.560e-08,131557.88815421495
vit-ti-16,128,0.01,0.0,0.8534666666666666,0.8532135346636888,0.8536354210727115,0.9985198641665805,5.195428904873353,1.570e-08,127550.74490568826
